title,platform_group,nintendo_relation,genre_main,player_type,play_situation,difficulty,mood,session_length,beginner_friendly,local_multiplayer,online_multiplayer,budget_tier,buying_advice
Another Code 回憶錄：兩種記憶／記憶之門,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo 64™ – Nintendo Classics 18+,Switch Compatible,Nintendo Published,Adventure,Explorer,Online|Short Break,Easy,Immersive,Medium,Yes,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
F-ZERO 99,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
皮克敏１,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
星之卡比 Wii 豪華版,Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Game Boy Advance™ – Nintendo Classics,Switch Compatible,Nintendo Published,Adventure,Explorer,Online|Short Break,Easy,Immersive,Medium,Yes,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Game Boy™ – Nintendo Classics,Switch Compatible,Nintendo Published,Adventure,Explorer,Online|Short Break,Easy,Immersive,Medium,Yes,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Mario Party™ Superstars（瑪利歐派對 超級巨星）,Switch Compatible,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo 64™ – Nintendo Classics,Switch Compatible,Nintendo Published,Adventure,Explorer,Online|Short Break,Easy,Immersive,Medium,Yes,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
SEGA Mega Drive - Nintendo Switch Online,Switch Compatible,Nintendo Published,Adventure,Explorer,Online|Short Break,Easy,Immersive,Medium,Yes,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
DC Super Hero Girls: Teen Power,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Famicom偵探俱樂部 消失的繼承人,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Fitness Boxing 2: Rhythm & Exercise,Switch Compatible,Nintendo Published,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
[Pokémon Café Mix]歡迎光臨！寶可夢咖啡店 ～拌拌繽紛趣～,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
擔架拍擋™,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Super Famicom Nintendo Classics,Switch Compatible,Nintendo Published,Adventure,Explorer,Online|Short Break,Easy,Immersive,Medium,Yes,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
BOXBOY! ＋ BOXGIRL!,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Family Computer Nintendo Classics,Switch Compatible,Nintendo Published,Adventure,Explorer,Online|Short Break,Easy,Immersive,Medium,Yes,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo Labo Toy-Con 04: VR套裝,Switch Compatible,Nintendo Core,Puzzle,Beginner,Solo|Short Break,Easy,Creative,Short,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
精靈寶可夢 Let's Go！伊布,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo Labo Toy-Con 03: 駕駛套裝,Switch Compatible,Nintendo Core,Puzzle,Beginner,Solo|Short Break,Easy,Creative,Short,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Mario Tennis Ace,Switch Compatible,Nintendo Core,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
超回転 寿司ストライカー The Way of Sushido (日文版),Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Donkey Kong Tropical Freeze,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo Labo Toy-Con 02: 機器人套裝,Switch Compatible,Nintendo Core,Puzzle,Beginner,Solo|Short Break,Easy,Creative,Short,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo Labo Toy-Con 01: 組合套裝,Switch Compatible,Nintendo Core,Puzzle,Beginner,Solo|Short Break,Easy,Creative,Short,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
你裁我剪！斯尼帕Plus,Switch Compatible,Nintendo Published,Puzzle,Beginner,Solo|Short Break,Easy,Creative,Short,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokémon FireRed / LeafGreen Version,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
異度神劍X 終極版 Nintendo Switch 2 Edition,Switch 2 Edition,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
節奏天國 奇蹟之星,Switch Compatible,Nintendo Published,Rhythm,Party Player,Solo|Short Break,Easy,Fun,Short,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
超級瑪利歐兄弟 驚奇 Nintendo Switch 2 Edition + 同遊鈴鈴公園,Switch 2 Edition,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
集合啦！動物森友會 Nintendo Switch 2 Edition,Switch 2 Edition,Nintendo Published,Simulation,Relaxed Player,Solo|Long Session,Easy,Healing,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
超級瑪利歐銀河 ＋ 超級瑪利歐銀河 ２,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
超級瑪利歐銀河,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
薩爾達傳說 曠野之息 Nintendo Switch 2 Edition,Switch 2 Edition,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
薩爾達傳說 王國之淚 Nintendo Switch 2 Edition,Switch 2 Edition,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
咚奇剛 歸來 HD,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
瑪利歐＆路易吉RPG 兄弟齊航！,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
永恆蔚藍 流光,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
名偵探皮卡丘 閃電回歸,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
皮克敏２,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
蓓優妮塔 起源︰瑟蕾莎與迷失的惡魔,Switch Compatible,Nintendo Published,Fighting,Competitive Player,Friends|Family|Party|Short Break,Hard,Exciting,Medium,No,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
斯普拉遁 3 擴充票,Switch Compatible,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,No,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
卡比的美食節,Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
FIRE EMBLEM 無雙 風花雪月,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo Switch 運動,Switch Compatible,Nintendo Published,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
瑪利歐賽車8 豪華版 新增賽道通行證,Switch Compatible,Nintendo Core,Racing,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
靈活腦學校 一起伸展大腦,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
寶可夢 晶燦鑽石,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
寶可夢 明亮珍珠,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
分享同樂！瓦利歐製造,Switch Compatible,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
搭檔任務 秘密搜查組,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
瑪利歐高爾夫 超級衝衝衝,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
附帶導航！一做就上手 第一次的遊戲程式設計,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
迷托邦,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Famicom偵探俱樂部 站在身後的少女,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
《集合啦！動物森友會》全島轉移服務,Switch Compatible,Nintendo Published,Simulation,Relaxed Player,Solo|Long Session,Easy,Healing,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
卡比群星戰2,Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
ポケモン不思議のダンジョン 救助隊DX,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
薩爾達傳說 織夢島,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
凱登絲勇闖海拉魯：死靈舞師地牢 薩爾達傳說 合作鉅獻,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo Labo Toy-Con 04: VR套裝 輕量版（僅附火箭筒）,Switch Compatible,Nintendo Core,Puzzle,Beginner,Solo|Short Break,Easy,Creative,Short,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
耀西的手工世界,Switch Compatible,Nintendo Core,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
精靈寶可夢 Let's Go！皮卡丘,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
進め！キノピオ隊長 體驗版,Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Splatoon™ 2 (美版),Switch Compatible,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,Yes,No,Yes,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
瑪利歐 + 瘋狂兔子 王國之戰 (日中版),Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
星之卡比 新星同盟 體驗版,Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
ポッ拳　POKKÉN TOURNAMENT DX 體驗版,Switch Compatible,Nintendo Published,Fighting,Competitive Player,Friends|Family|Party|Short Break,Hard,Exciting,Medium,No,Yes,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
