title,platform,date,meta_score,user_score,link,esrb_rating,developers,genres,platform_group,nintendo_relation,genre_main,player_type,play_situation,difficulty,mood,session_length,beginner_friendly,local_multiplayer,online_multiplayer,budget_tier,buying_advice,title_en,title_ko,title_zh,localization_note,image_url,image_file,official_url_en,official_url_ko,official_url_zh,media_note,normalized_title
Splatoon Raiders,Nintendo Switch 2,2026-07-23,,,,,Nintendo,"['Shooter', 'Action', 'Online']",Switch 2,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,Yes,No,Yes,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Splatoon Raiders,스플래툰 레이더스,斯普拉遁 塗擊隊,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100001228270b216ace3dbe11f1981251d357ba780b/8c42325f9e62bb74a17434734d2bd1a0/ac10d398536e75dbd5ab9961c04d8fdaeaa35b531a173adfedf684ec18a8460d.jpg,data/media_images/splatoon_raiders.jpg,https://www.nintendo.com/us/store/products/splatoon-raiders-switch-2/,https://store.nintendo.co.kr/70010000122826,https://www.nintendo.com/hk/games/switch2/aadla/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,splatoon raiders
Another Code 回憶錄：兩種記憶／記憶之門,Nintendo Switch,2024-01-19,,,,,Nintendo,['Adventure'],Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Another Code 回憶錄：兩種記憶／記憶之門,,Another Code 回憶錄：兩種記憶／記憶之門,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/6FLG85muQOQHyr983gTiNy/e58d5b74d684e7dd3b37274a80167369/2d8f27f422bf1393fdc04b79f5d58bbd2577a2407a16370d800cb2e94472009c.jpg,data/media_images/hk_70010000072199.jpg,https://www.nintendo.com/hk/switch/a9rwa/,,https://www.nintendo.com/hk/switch/a9rwa/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,another code 回憶錄 兩種記憶 記憶之門
Super Mario RPG,Nintendo Switch,2023-11-17,83.0,8.1,,E,Nintendo,['RPG'],Switch Compatible,Nintendo Core,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Super Mario RPG,슈퍼 마리오 RPG,超級瑪利歐RPG,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000068683/fe4afe940b0e707798332e86f0af56cdbde48da59dc37cdfb8d59febb88ac72a",data/media_images/super_mario_rpg.jpg,https://www.nintendo.com/us/store/products/super-mario-rpg-switch/,https://www.nintendo.com/kr/switch/a8lua/,https://www.nintendo.com/hk/switch/a8lua/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,super mario rpg
WarioWare: Move It!,Nintendo Switch,2023-11-03,76.0,7.7,,E10+,Nintendo,"['Party', 'Action']",Switch Compatible,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",WarioWare: Move It!,끝내주게 춤춰라 메이드 인 와리오,超級舞動 瓦利歐製造,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000068678/5b072b55e8a6993071b4cde9f74d9cf7aeac0b52141177efed6c8ce9b580a435",data/media_images/warioware_move_it.jpg,https://www.nintendo.com/us/store/products/warioware-move-it-switch/,https://www.nintendo.com/kr/switch/a9qea/,https://www.nintendo.com/hk/switch/a9qea/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,warioware move it
Super Mario Bros. Wonder,Nintendo Switch,2023-10-20,92.0,8.6,,E,Nintendo,"['Action', 'Platformer', '2D']",Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Super Mario Bros. Wonder,Super Mario Bros. Wonder(슈퍼 마리오브라더스 원더),超級瑪利歐兄弟 驚奇,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000068688/87e8aa5f1fdc950b88eae7d7c62ed185c8a6373c845090bbdb2e2cf039b38da1",data/media_images/super_mario_bros_wonder.jpg,https://www.nintendo.com/us/store/products/super-mario-bros-wonder-switch/,https://www.nintendo.com/kr/switch/aqmxa/,https://www.nintendo.com.hk/switch/aqmxa/?fbclid=IwAR2IK9r6hgp3UZrS-xE5_gIMH-VTmcn82Gs0zW-TBUSSTl21j3NN3puvA1k,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,super mario bros wonder
名偵探皮卡丘 閃電回歸,Nintendo Switch,2023-10-06,,,,,Nintendo,['Adventure'],Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",名偵探皮卡丘 閃電回歸,,名偵探皮卡丘 閃電回歸,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/7FiLC4szjfsol8kF8nQTfO/7d874edfa77f5fcec3d4fd433712e9cb/3a532b7241bc3f773229f69446a584c3172e0c3b898499f89da3c8e8378f92d6.jpg,data/media_images/hk_70010000068696.jpg,https://www.pokemon.co.jp/ex/detective_pikachu/tc/,,https://www.pokemon.co.jp/ex/detective_pikachu/tc/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,名偵探皮卡丘 閃電回歸
F-ZERO 99,Nintendo Switch,2023-09-15,,,,,Nintendo,['Adventure'],Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",F-ZERO 99,,F-ZERO 99,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/1qinz2hq0jq0sg3mvHfXyg/25b3d6a91fdd26ca82e6072910d852cf/51d84b49640ce5c8fe355a177a26a12680ebbfafb4cc623d8cdf12f846561afb.jpg,data/media_images/hk_70010000072189.jpg,https://ec.nintendo.com/HK/zh/titles/70010000072189,,https://ec.nintendo.com/HK/zh/titles/70010000072189,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,f zero 99
Pikmin 4,Nintendo Switch,2023-07-21,87.0,8.8,,E10+,Nintendo,"['Strategy', 'Adventure']",Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Pikmin 4,피크민 4,皮克敏４,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000005308/43af89ed5bd76ac5ec6b367b4b53092f8bf94a1d1312fdfc1d4664329fd5077b",data/media_images/pikmin_4.jpg,https://www.nintendo.com/us/store/products/pikmin-4-switch/,https://www.nintendo.com/kr/switch/ampya/,https://www.nintendo.com/hk/switch/ampya/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,pikmin 4
Everybody 1-2-Switch!,Nintendo Switch,2023-06-30,56.0,5.4,,E,Nintendo,"['Party', 'Multiplayer']",Switch Compatible,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Everybody 1-2-Switch!,Everybody 1-2-Switch!(에브리바디 원 투 스위치),Everybody 1-2-Switch!,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000068159/de4985f3b03b7b50565be4b906ded22186f8365cc8c25bcbe1ed76882df39a17",data/media_images/everybody_1_2_switch.jpg,https://www.nintendo.com/us/store/products/everybody-1-2-switch-switch/,https://www.nintendo.com/kr/switch/argta/,https://www.nintendo.com.hk/switch/argta/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,everybody 1 2 switch
皮克敏１,Nintendo Switch,2023-06-22,,,,,Nintendo,['Adventure'],Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",皮克敏１,,皮克敏１,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/47QkLkG8eRdHyy8enkNEnU/0c8a723f5bff5d52b6f9611216091a30/037085470771aa0be954c1259d05d4d83a4a095c91b6fa744fc720253f4556c1.jpg,data/media_images/hk_70010000068672.jpg,https://ec.nintendo.com/HK/zh/titles/70010000068672,,https://ec.nintendo.com/HK/zh/titles/70010000068672,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,皮克敏1
皮克敏２,Nintendo Switch,2023-06-22,,,,,Nintendo,['Adventure'],Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",皮克敏２,,皮克敏２,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/43ZGmL2aEDQj1h2B3CxMlc/eef87ba131fb363590b12d48a821603f/c9cda7871dfe2ca00541dfa9e3cf03d3ef42f173c0619b1375c0b32587e09028.jpg,data/media_images/hk_70010000068676.jpg,https://ec.nintendo.com/HK/zh/titles/70010000068676,,https://ec.nintendo.com/HK/zh/titles/70010000068676,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,皮克敏2
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,2023-05-12,96.0,8.4,,E10+,Nintendo,"['Action', 'Adventure', 'Open-World']",Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",The Legend of Zelda: Tears of the Kingdom,젤다의 전설 티어스 오브 더 킹덤,薩爾達傳說 王國之淚,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000063714/fb30eab428df3fc993b41c76e20f72e4d76d49734d17d31996b5ab61c414b117",data/media_images/the_legend_of_zelda_tears_of_the_kingdom.jpg,https://www.nintendo.com/us/store/products/the-legend-of-zelda-tears-of-the-kingdom-switch/,https://www.nintendo.com/kr/zelda/totk/,https://www.nintendo.com/hk/zelda/totk/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,legend of zelda tears of the kingdom
蓓優妮塔 起源︰瑟蕾莎與迷失的惡魔,Nintendo Switch,2023-03-17,,,,,Nintendo,['Fighting'],Switch Compatible,Nintendo Published,Fighting,Competitive Player,Friends|Family|Party|Short Break,Hard,Exciting,Medium,No,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",蓓優妮塔 起源︰瑟蕾莎與迷失的惡魔,,蓓優妮塔 起源︰瑟蕾莎與迷失的惡魔,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/3qwYTFSMr7IwyAFNg1miXw/3a828c0067933ecd57fc12de0524d5ee/741b2fa525d278e9e3e0e1d694625e3b3eb432270d9e0698aa6d798a86acf5b7.jpg,data/media_images/hk_70010000061851.jpg,https://www.nintendo.com/hk/switch/axb8a/,,https://www.nintendo.com/hk/switch/axb8a/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,蓓優妮塔 起源 瑟蕾莎與迷失的惡魔
星之卡比 Wii 豪華版,Nintendo Switch,2023-02-24,,,,,Nintendo,['Platformer'],Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",星之卡比 Wii 豪華版,,星之卡比 Wii 豪華版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/4IN33YUYgahUdKvoRUSKLb/1b82317a201be7f15716ba5c92f2ffab/2f3ad2d69561e1f9ad65bcd28d3b0d4a9604c10abe498d1d2325ca72bb999928.jpg,data/media_images/hk_70010000058800.jpg,https://www.nintendo.com/hk/switch/a2jya/,,https://www.nintendo.com/hk/switch/a2jya/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,星之卡比 wii 豪華版
Metroid Prime Remastered,Nintendo Switch,2023-02-09,94.0,8.8,,T,Nintendo,"['Action', 'Adventure', 'First-Person']",Switch Compatible,Nintendo Core,Shooter,Competitive Player,Solo|Short Break,Medium,Exciting,Medium,No,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Metroid Prime Remastered,메트로이드 프라임 리마스터,密特羅德 究極 復刻版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000063709/32b85837beea0eee31220a59e247219662de4011f7a8c18fce61cf99a4933eb7",data/media_images/metroid_prime_remastered.jpg,https://www.nintendo.com/us/store/products/metroid-prime-remastered-switch/,https://www.nintendo.com/kr/switch/a3sda/,https://www.nintendo.com/hk/switch/a3sda/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,metroid prime remastered
斯普拉遁 3 擴充票,Nintendo Switch,2023-02-09,,,,,Nintendo,['Shooter'],Switch Compatible,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,No,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",斯普拉遁 3 擴充票,,斯普拉遁 3 擴充票,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/6camUtGw2BO1sd6kSQzTRA/c6a6a96c1f31df0b77caffedb82f7fbe/ebf902cbb84b1d1e2d318673e9181d2e1129a65f13e9c2d82c808c3496bae691_1675843942.jpg,data/media_images/hk_70070000016736.jpg,https://www.nintendo.com/hk/switch/av5ja/sideorder/index.html,,https://www.nintendo.com/hk/switch/av5ja/sideorder/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,斯普拉遁 3 擴充票
Fire Emblem Engage,Nintendo Switch,2023-01-20,80.0,6.6,,T,Nintendo,"['Strategy', 'RPG']",Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Fire Emblem Engage,파이어 엠블렘 Engage,Fire Emblem™ Engage,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000058802/88b8db494399e659522af36331b7f588439bc4312af5c0ee57035c063651ab4a",data/media_images/fire_emblem_engage.jpg,https://www.nintendo.com/us/store/products/fire-emblem-engage-switch/,https://www.nintendo.com/kr/software/switch/ayfna/,https://www.nintendo.com/hk/switch/ayfna/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,fire emblem engage
Pokemon Scarlet,Nintendo Switch,2022-11-18,72.0,3.9,,E,Nintendo,"['RPG', 'Adventure']",Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Pokemon Scarlet,포켓몬스터스칼렛・바이올렛,寶可夢 朱,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000053966/849c234de8df7265201d26d9d72f88eed3f32438d3dca12fc135beb4c3befc85",data/media_images/pokemon_scarlet.jpg,https://www.nintendo.com/us/store/products/pokemon-scarlet-switch/,https://www.nintendo.com/kr/software/switch/sv/,https://www.pokemon.co.jp/ex/sv/tc/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,pokemon scarlet
Pokemon Violet,Nintendo Switch,2022-11-18,72.0,4.0,,E,Nintendo,"['RPG', 'Adventure']",Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Pokemon Violet,포켓몬스터스칼렛・바이올렛,寶可夢 紫,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000053971/842b2784d91520d41a947dec17fac116fec889bb1f1db4023615af8429dae00d",data/media_images/pokemon_violet.jpg,https://www.nintendo.com/us/store/products/pokemon-violet-switch/,https://www.nintendo.com/kr/software/switch/sv/,https://www.pokemon.co.jp/ex/sv/tc/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,pokemon violet
Bayonetta 3,Nintendo Switch,2022-10-28,86.0,7.1,,M,Nintendo,['Action'],Switch Compatible,Nintendo Published,Fighting,Competitive Player,Friends|Family|Party|Short Break,Hard,Exciting,Medium,No,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Bayonetta 3,베요네타 3,蓓優妮塔3,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000046400/0c47748b3a6f1b3a9fce87886c3dae2680f9990e27b2b6c8b029b6133f072477",data/media_images/bayonetta_3.jpg,https://www.nintendo.com/us/store/products/bayonetta-3-switch/,https://www.nintendo.com/kr/software/switch/axb7a/,https://www.nintendo.com/hk/switch/axb7a/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,bayonetta 3
Bayonetta,Nintendo Switch,2022-09-30,84.0,8.3,,M,Nintendo,"['Action Adventure', 'Linear']",Switch Compatible,Nintendo Published,Fighting,Competitive Player,Friends|Family|Party|Short Break,Hard,Exciting,Medium,No,Yes,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Bayonetta,베요네타,蓓優妮塔 魔兵驚天錄,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000001109/5e8029ad4b352792683f9ea226ce145329cacfee11c72bb94fe7d5a91d7cc7ac",data/media_images/bayonetta.jpg,https://www.nintendo.com/us/store/products/bayonetta-switch/,https://store.nintendo.co.kr/70010000057086,https://ec.nintendo.com/HK/zh/titles/70010000057087,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,bayonetta
Splatoon 3,Nintendo Switch,2022-09-09,83.0,8.2,,E10+,Nintendo,"['Action', 'Shooter', 'Multiplayer']",Switch Compatible,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,Yes,No,Yes,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Splatoon 3,스플래툰 3,斯普拉遁 3,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000046395/94a4095cda06c4d85c637d1af451979f9933302b6b17174d97c45de7a68584a2",data/media_images/splatoon_3.jpg,https://www.nintendo.com/us/store/products/splatoon-3-switch/,https://www.nintendo.com/kr/switch/av5ja/,https://www.nintendo.com/hk/switch/av5ja/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,splatoon 3
卡比的美食節,Nintendo Switch,2022-08-17,,,,,Nintendo,['Platformer'],Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",卡比的美食節,,卡比的美食節,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/51cuS74tv6ovsSx4g55eZD/d80695cbc2d65f3a4f43beb4e109e502/8ad0e3dad30a41c78ed161abfbb4791ec29b90fcf7ad82e1a5ea4ebe83661504.jpg,data/media_images/hk_70010000056623.jpg,https://ec.nintendo.com/HK/zh/titles/70010000056623,,https://ec.nintendo.com/HK/zh/titles/70010000056623,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,卡比的美食節
Xenoblade Chronicles 3,Nintendo Switch,2022-07-29,89.0,8.5,,T,Nintendo,['RPG'],Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Xenoblade Chronicles 3,제노블레이드 크로니클스 3,異度神劍3,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000053336/e933b48650b33b355e9cf2583da5c94b77180e40fb02d050041083dd62f4df39",data/media_images/xenoblade_chronicles_3.jpg,https://www.nintendo.com/us/store/products/xenoblade-chronicles-3-switch/,https://www.nintendo.com/kr/software/switch/az3ha/,https://www.nintendo.com/hk/switch/az3ha/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,xenoblade chronicles 3
FIRE EMBLEM 無雙 風花雪月,Nintendo Switch,2022-06-24,,,,,Nintendo,['RPG'],Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",FIRE EMBLEM 無雙 風花雪月,,FIRE EMBLEM 無雙 風花雪月,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/1nbfpPRI9G7sR73LLRGcRh/e9e65fff3f13082171506fe2b250303a/816ef4cf42e25e589e2849ca61ef804fbe467719f50e998faea4fd1e38bd3e53.jpg,data/media_images/hk_70010000050752.jpg,https://www.nintendo.com/hk/fe_fs/,,https://www.nintendo.com/hk/fe_fs/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,fire emblem 無雙 風花雪月
Mario Strikers: Battle League,Nintendo Switch,2022-06-10,73.0,6.4,,E,Nintendo,"['Sports', 'Action', 'Multiplayer']",Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Mario Strikers: Battle League,마리오 스트라이커즈 배틀 리그,瑪利歐激戰前鋒 戰鬥聯賽,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000049936/c280b6843af262757f041d2aa3543992ec076b97545abea4dbadda797d9056fc",data/media_images/mario_strikers_battle_league.jpg,https://www.nintendo.com/us/store/products/mario-strikers-battle-league-switch/,https://www.nintendo.com/kr/software/switch/awn6a/index.html,https://www.nintendo.com/hk/switch/awn6a/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,mario strikers battle league
Nintendo Switch 運動,Nintendo Switch,2022-04-29,,,,,Nintendo,['Sports'],Switch Compatible,Nintendo Published,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Nintendo Switch 運動,,Nintendo Switch 運動,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/3KzEAMRXACOV041hIQ5AS/eae412b9a1cdb729887216e0b505d63c/HACP_AS8S_CHillu01_02_R_ad-31920x1080.jpg,data/media_images/hk_70010000049934.jpg,https://www.nintendo.com/hk/switch/as8sa/,,https://www.nintendo.com/hk/switch/as8sa/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,nintendo switch 運動
Kirby and the Forgotten Land,Nintendo Switch,2022-03-25,85.0,8.7,,E10+,Nintendo,"['Action', 'Platformer']",Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Kirby and the Forgotten Land,별의 커비 디스커버리,星之卡比 探索發現,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000046405/d1cf83dea46094b85247f40ca30ea4557730a319be0bfe544a4fa929144cf6c2",data/media_images/kirby_and_the_forgotten_land.jpg,https://www.nintendo.com/us/store/products/kirby-and-the-forgotten-land-switch/,https://www.nintendo.com/kr/software/switch/arzga/,https://www.nintendo.com/hk/switch/arzga/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,kirby and the forgotten land
